date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:28	70038/70038	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2017:08:21%20GMT	https://mentorcruise.com/mentor/JakeStaTeresa/apply/?plan=af0e72bae82879	C:/My%20Web%20Sites/Mentorship/mentorcruise.com/mentor/JakeStaTeresa/apply/index0096.html	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:08:29	212367/212367	---M--	200	added ('OK')	image/jpeg	etag:%229d1e48917ec63303cd03d2f905537ba4%22	https://cdn.mentorcruise.com/cache/faa4adb5738082ce08c4acec5f1ff9b9/5aa6da80fa020ec4/0e50f38623d9ad010f4562c51ac51d88.jpg	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/cache/faa4adb5738082ce08c4acec5f1ff9b9/5aa6da80fa020ec4/0e50f38623d9ad010f4562c51ac51d88.jpg	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:08:30	159871/159871	---M--	200	added ('OK')	image/jpeg	etag:%225afed65cc30737fa1f25a64e5f898edb%22	https://cdn.mentorcruise.com/cache/5149c942be02299fe1caa5fd1f81124c/406a2cd66d4aaee9/c96d97a05a10d520df2958027c48f840.jpg	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/cache/5149c942be02299fe1caa5fd1f81124c/406a2cd66d4aaee9/c96d97a05a10d520df2958027c48f840.jpg	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:08:33	368865/368865	---M--	200	added ('OK')	image/jpeg	etag:%22fa1966a2222ad258d4ef4398abf7ca1d%22	https://cdn.mentorcruise.com/pinax-images/image-set-227/b4db4d9a-9150-412d-9bd0-c03142471e3f.jpg	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/pinax-images/image-set-227/b4db4d9a-9150-412d-9bd0-c03142471e3f.jpg	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:08:36	9463/9463	---M--	200	added ('OK')	image/png	etag:%220da70575e35b81630402b45b0cce285c%22	https://cdn.mentorcruise.com/img/mentorcruiselogo.png	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/img/mentorcruiselogo.png	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:08:37	148564/148564	---M--	200	added ('OK')	image/jpeg	etag:%221e7849306df0420160ff63e8fac6eeba%22	https://cdn.mentorcruise.com/cache/49521f2d3f91016d0775f9922fa71f50/bbca8355f7fdf2f5/4e42d1bcf420fcc6d2a028df35bdb7c7.jpg	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/cache/49521f2d3f91016d0775f9922fa71f50/bbca8355f7fdf2f5/4e42d1bcf420fcc6d2a028df35bdb7c7.jpg	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:08:40	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2003%20Oct%202021%2017:08:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Mentorship/connect.facebook.net/en_US/fbevents.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:03	4684/4684	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2029%20Sep%202021%2019:17:49%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/My%20Web%20Sites/Mentorship/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:10	11599/11599	---MCZ	200	added ('OK')	text/javascript	etag:W/%223a5177f5482ab61da6a0eb7587446403%22	https://script.tapfiliate.com/tapfiliate.js	C:/My%20Web%20Sites/Mentorship/script.tapfiliate.com/tapfiliate.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:13	36134/36134	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260f5a8e5-8d26%22	https://cdn.abrankings.com/js/client.js	C:/My%20Web%20Sites/Mentorship/cdn.abrankings.com/js/client.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:16	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9f5aeeca3ad37bf2aa006139b935f0a%22	https://cdn.mentorcruise.com/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/js/jquery-3.2.1.min.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:21	13323/13323	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264cc3e7f92b673fff3787bae4c99f3b7%22	https://cdn.mentorcruise.com/js/bulma.js	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/js/bulma.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:21	4437/4437	---MCZ	200	added ('OK')	application/javascript	etag:W/%222611fe08e48dcf93c60998a5c536649b%22	https://cdn.mentorcruise.com/js/readmore.min.js	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/js/readmore.min.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:22	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5a61c749e44e47159af8a6579dda121%22	https://cdn.mentorcruise.com/js/slick.min.js	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/js/slick.min.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:24	13795/13795	---MCZ	200	added ('OK')	text/javascript	etag:W/2021.9.0	https://static.cloudflareinsights.com/beacon.min.js	C:/My%20Web%20Sites/Mentorship/static.cloudflareinsights.com/beacon.min.js	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:09:27	5741/5741	---M-Z	200	added ('OK')	text/css	etag:W/%2260cd12ca-166d%22	https://rsms.me/inter/inter-ui.css	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/inter-ui.css	(from https://cdn.mentorcruise.com/css/mentorcruise-v2.0.0.css)
17:09:46	99632/99632	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-18530%22	https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Thin3535.woff2	(from https://rsms.me/inter/inter.css)
17:09:48	135920/135920	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-212f0%22	https://rsms.me/inter/font-files/Inter-Thin.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Thin3535.woff	(from https://rsms.me/inter/inter.css)
17:09:51	106496/106496	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1a000%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ThinItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:09:52	340709/340709	---M--	200	added ('OK')	image/jpeg	etag:%22cbdee3a780ae420761bd900113672ba4%22	https://cdn.mentorcruise.com/img/bg3.jpg	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/img/bg3.jpg	(from https://cdn.mentorcruise.com/css/styles.css)
17:09:52	145480/145480	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-23848%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ThinItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:07	104232/104232	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19728%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraLight3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:09	140724/140724	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-225b4%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraLight3535.woff	(from https://rsms.me/inter/inter.css)
17:10:10	149996/149996	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-249ec%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraLightItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:10	111392/111392	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b320%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraLightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:12	140632/140632	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-22558%22	https://rsms.me/inter/font-files/Inter-Light.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Light3535.woff	(from https://rsms.me/inter/inter.css)
